name;source;source_url;category;glass;instructions;ingredient;amount_ml;note
Blood & Sand;The 66 PDF;;;Chilled Martini / Coupe;Shake & Fine Strain. Garnish: Orange zest. Optional: None;Grant's Scotch Whisky;20;
Blood & Sand;The 66 PDF;;;Chilled Martini / Coupe;;Sweet vermouth;20;
Blood & Sand;The 66 PDF;;;Chilled Martini / Coupe;;Cherry brandy;20;
Blood & Sand;The 66 PDF;;;Chilled Martini / Coupe;;Orange juice;20;
Apple Martini;The 66 PDF;;;Chilled Martini / Coupe;Shake & Fine Strain. Garnish: Lemon zest. Optional: Apple leaf;Vodka;40;
Apple Martini;The 66 PDF;;;Chilled Martini / Coupe;;DeKuyper Apple Liqueur;30;
Apple Martini;The 66 PDF;;;Chilled Martini / Coupe;;Fresh lemon juice;30;
Apple Martini;The 66 PDF;;;Chilled Martini / Coupe;;Sugar syrup;10;
Kamikaze;The 66 PDF;;;Shooter;Shake & Fine Strain. Garnish: None. Optional: None;Vodka;20;
Kamikaze;The 66 PDF;;;Shooter;;Cointreau;10;
Kamikaze;The 66 PDF;;;Shooter;;Fresh lime juice;10;
Singapore Sling;The 66 PDF;;;Highball / Sling;Shake & Strain. Garnish: Pineapple wedge & cherry. Optional: None;Angostura bitters;;1 dash
Singapore Sling;The 66 PDF;;;Highball / Sling;;Grenadine;;1 dash
Singapore Sling;The 66 PDF;;;Highball / Sling;;Benedictine D.O.M.;5;
Singapore Sling;The 66 PDF;;;Highball / Sling;;Cointreau;5;
Singapore Sling;The 66 PDF;;;Highball / Sling;;Cherry brandy;10;
Singapore Sling;The 66 PDF;;;Highball / Sling;;Fresh lime juice;10;
Singapore Sling;The 66 PDF;;;Highball / Sling;;Gin;20;
Singapore Sling;The 66 PDF;;;Highball / Sling;;Pineapple juice;80;
Gimlet;The 66 PDF;;;Chilled Martini / Coupe;Stir & Julep Strain. Garnish: Lime Zest. Optional: Pink Gin: Replace Lime Cordial with a few dashes of Angostura Bitters and garnish with a Lemon Zest.;Gin;60;
Gimlet;The 66 PDF;;;;;Lime Cordial;10;
Martinez;The 66 PDF;;;Chilled Martini / Coupe;Stir & Julep Strain. Garnish: Lemon Zest. Optional: None.;Orange Bitters;;2 dashes
Martinez;The 66 PDF;;;;;Maraschino;;1 barspoon
Martinez;The 66 PDF;;;;;Sweet Vermouth;20;
Martinez;The 66 PDF;;;;;Gin;60;
Sazerac;The 66 PDF;;;Rocks / Old Fashioned;Rinse, Stir & Julep Strain. Garnish: Lemon Zest. Optional: Use Peychaud's and Angostura Bitters.;Absinthe;;rinse
Sazerac;The 66 PDF;;;;;Peychaud's Bitters;;3 dashes
Sazerac;The 66 PDF;;;;;Cognac or Rye;60;
Sazerac;The 66 PDF;;;;;Sugar Syrup;10;
Zombie;The 66 PDF;;;Highball / Tiki Mug;Shake & Strain. Garnish: Mint Sprig. Optional: Add falernum and garnish with a cinnamon stick.;Angostura Bitters;;4 dashes
Zombie;The 66 PDF;;;;;Absinthe;;2 dashes
Zombie;The 66 PDF;;;;;Overproof Rum;10;
Zombie;The 66 PDF;;;;;Dark Rum;20;
Zombie;The 66 PDF;;;;;Light Rum;20;
Zombie;The 66 PDF;;;;;Grenadine;10;
Zombie;The 66 PDF;;;;;Cinnamon Syrup;20;
Zombie;The 66 PDF;;;;;Fresh Lime Juice;20;
Zombie;The 66 PDF;;;;;Grapefruit Juice;20;
Piña Colada (Quick);The 66 PDF;;;Highball / Hurricane;Shake & Strain. Garnish: Pineapple Wedge & Cherry. Optional: None.;Light Rum;40;
Piña Colada (Quick);The 66 PDF;;;;;Coconut Liqueur;20;
Piña Colada (Quick);The 66 PDF;;;;;Fresh Lime Juice;10;
Piña Colada (Quick);The 66 PDF;;;;;Pineapple Juice;60;
Piña Colada (Quick);The 66 PDF;;;;;Coco Re'al Coconut Cream;40;
Lemon Drop;The 66 PDF;;;Shooter;Shake & Fine Strain. Garnish: Sugar coated lemon wedge. Optional: None.;Vodka;20;
Lemon Drop;The 66 PDF;;;;;Fresh Lemon Juice;10;
Lemon Drop;The 66 PDF;;;;;Sugar Syrup;10;
